sample	Acidilobales	Actinomycetales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Caldilineales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Desulfovibrionales	Desulfurococcales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Halanaerobiales	Hydrogenophilales	Lactobacillales	Methanobacteriales	Mycoplasmatales	Myxococcales	Neisseriales	Pasteurellales	Planctomycetales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sulfolobales	Synergistales	Syntrophobacterales	Thermales	Thermoproteales	Verrucomicrobiales	Xanthomonadales
r2_B26	1	22	0	10321	955	676	0	0	0	48458	960	0	94	19	1	1182	0	0	0	0	0	848	0	0	0	0	0	0	0	0	7	0	0	55	8	0	0	0	0	0	2811	0
r2_B27	1	47	1	14666	525	598	0	0	0	44826	997	0	116	8	2	5700	0	0	0	0	0	727	0	0	0	0	18	0	0	1	4	0	0	54	8	0	0	0	0	0	2482	0
r2_B28	2	7	0	11610	4	528	0	0	0	16256	582	0	179	15	1	1409	0	0	0	0	0	4571	0	0	0	0	0	0	0	1	4	0	0	15	2	0	0	0	0	0	208	0
r2_B29	0	10	0	11519	21	380	0	0	0	20134	844	0	141	4	1	2172	1	0	0	0	0	3035	0	0	0	0	0	0	0	0	6	0	0	33	9	0	0	0	0	0	282	0
r2_B3	1	17	2	15660	290	137	0	0	0	32241	827	0	423	12	4	1264	0	0	0	0	0	4723	0	0	0	0	1	0	0	3	4	0	0	16	8	0	0	0	0	0	1160	0
r2_B30	0	23	3	24469	64	1054	1	0	0	40225	1249	0	349	11	2	4034	1	0	0	0	1	3440	0	0	0	0	0	0	0	0	13	0	0	28	12	0	0	0	0	0	1242	1
r2_B31	1	7	0	23103	58	869	0	0	0	32202	1075	0	583	11	2	2585	0	0	0	0	0	3718	0	0	0	0	0	0	0	4	7	0	0	14	9	0	0	0	0	0	2556	0
r2_B32	1	19	1	17599	1391	261	0	0	0	24718	2881	0	113	15	2	10715	0	0	0	0	0	549	0	0	0	0	0	0	0	2	10	0	0	8	12	0	0	0	0	1	4122	0
r2_B33	3	3	0	15699	436	337	0	0	0	15113	934	0	232	11	0	3622	0	0	0	0	0	300	0	1	0	0	0	0	0	3	4	0	0	9	7	0	0	0	0	0	2021	0
r2_B34	1	11	1	11643	1012	107	0	0	0	12110	1695	0	56	10	0	5233	0	0	0	0	0	342	0	0	0	0	0	0	0	2	3	1	0	4	3	0	1	0	0	0	2576	0
r2_B35	1	8	0	13269	1912	314	0	0	0	31173	829	0	139	13	6	2725	0	0	0	0	0	1925	0	0	0	0	0	0	0	0	4	0	0	24	3	0	0	0	0	0	1049	0
r2_B36	1	16	0	15361	339	207	0	0	1	28019	1109	0	231	9	592	925	0	0	0	0	0	1740	0	0	0	0	0	0	0	0	3	0	0	27	3	0	0	0	0	0	6	0
r2_B37	2	13	0	13594	384	204	0	1	0	23673	1141	0	226	7	552	817	0	0	0	0	0	1549	0	0	0	0	0	0	0	0	3	0	0	28	0	0	0	0	0	0	0	0
r2_B38	0	12	0	12719	437	125	0	0	0	21930	1004	0	156	10	551	734	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	12	0	0	30	4	0	0	0	0	0	0	0
r2_B39	1	22	2	19574	364	235	0	0	0	30159	1147	0	262	2	727	1029	0	0	0	0	0	2205	1	0	0	0	0	0	0	0	9	0	0	39	5	0	0	0	0	0	1	0
