sample	Acidaminococcaceae	Acidilobaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Bacillaceae 1	Bacillaceae 2	Bacillales_Incertae Sedis XI	Bacteroidaceae	Bacteroidales_incertae_sedis	Bifidobacteriaceae	Bradyrhizobiaceae	Brucellaceae	Burkholderiaceae	Caldilineaceae	Caldisphaeraceae	Campylobacteraceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Chloroplast	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 3	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Coriobacteriaceae	Corynebacteriaceae	Cyclobacteriaceae	Cytophagaceae	Defluviitaleaceae	Dermabacteraceae	Desulfohalobiaceae	Desulfovibrionaceae	Desulfurococcaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flammeovirgaceae	Flavobacteriaceae	Fusobacteriaceae	Gracilibacteraceae	Halanaerobiaceae	Hydrogenophilaceae	Incertae Sedis XI	Kineosporiaceae	Labilitrichaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Marinilabiliaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Mycoplasmataceae	Neisseriaceae	Nocardiaceae	Nocardiopsaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptococcaceae 2	Peptostreptococcaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Pyrodictiaceae	Rhodobacteraceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sporolactobacillaceae	Staphylococcaceae	Streptococcaceae	Sulfolobaceae	Sutterellaceae	Synergistaceae	Syntrophobacteraceae	Syntrophomonadaceae	Thermaceae	Thermoproteaceae	Veillonellaceae	Verrucomicrobiaceae	Xanthomonadaceae
r1_B42	29	0	0	11	0	0	0	0	14472	0	192	0	0	0	0	0	0	1	0	14	0	150	3	0	0	1	0	1	797	1	0	0	0	0	0	399	0	0	3	1	322	4	0	1	0	1	0	0	0	0	1	27245	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	45	0	0	1937	0	0	0	0	0	0	0	0	557	10150	0	0	0	925	0	593	0	0	0	0	0	3	88	0
r1_B43	48	0	4	21	0	0	0	1	15466	0	257	1	0	0	0	0	0	4	0	11	1	883	0	0	0	0	0	10	1995	3	0	0	3	0	0	269	0	0	60	0	411	16	0	0	0	0	0	0	1	0	0	26927	42	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	254	0	0	1390	0	0	0	0	0	0	0	0	818	8225	0	0	0	3634	0	249	0	0	0	0	0	9	637	0
r1_B44	106	0	2	37	0	0	0	1	20020	0	303	4	0	0	0	0	0	3	0	24	0	789	0	0	0	4	0	8	2420	2	0	0	4	0	0	371	0	0	71	0	594	9	0	1	0	0	0	0	3	0	0	24487	55	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	145	0	0	1687	0	0	0	0	0	1	0	0	1187	9326	0	0	0	4121	0	258	0	0	0	0	0	18	812	0
r1_B45	102	0	11	42	0	0	0	0	13141	0	175	2	0	0	0	0	0	2	0	53	0	663	7	0	0	4	0	18	1217	0	0	0	7	0	0	156	0	0	5	0	583	20	0	1	0	0	0	0	0	0	0	26585	201	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	387	0	0	1567	0	0	0	0	0	0	0	0	744	14170	0	0	0	1616	0	440	0	0	0	0	0	13	2743	0
r1_B46	116	0	29	46	0	0	0	1	10025	0	457	6	0	0	0	0	0	9	0	43	0	1387	43	0	0	3	0	18	2429	2	0	0	7	0	0	136	0	0	6	0	870	28	0	0	0	1	0	0	2	0	0	55386	529	0	2	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1196	0	0	1250	0	0	0	0	0	0	0	1	658	19831	0	0	0	2737	0	464	0	0	0	0	0	24	5219	0
r1_B47	22	0	8	27	0	0	0	0	35589	0	283	0	0	0	0	0	0	3	0	21	0	592	17	0	1	7	0	67	812	6	0	0	15	0	0	2108	0	0	0	2	2376	162	0	0	0	0	0	0	4	0	0	16178	79	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1064	0	0	7796	0	0	0	0	0	0	0	1	3070	13164	0	0	0	3057	0	2011	0	0	0	0	0	14	6968	0
r1_B5	66	0	56	42	0	0	0	0	33515	0	1597	9	0	0	0	0	0	3	0	46	1	551	0	0	0	2	0	84	1567	1	0	0	1	0	0	1106	0	0	5	1	2240	137	0	0	0	6	0	0	3	0	0	44908	23	0	2	0	0	0	18	0	0	0	0	0	0	0	10	0	0	7	0	0	5120	0	0	0	1	0	0	0	0	191	18736	0	0	0	17541	0	454	1	0	0	0	0	65	2597	0
r1_B6	19	0	63	28	0	0	0	3	23008	0	1933	4	0	0	0	0	0	0	0	27	2	620	0	0	0	0	0	51	1691	1	0	0	0	0	0	1127	0	0	2	1	1555	85	0	0	0	1	0	0	2	0	0	31850	53	0	2	0	0	0	16	0	0	0	0	0	0	0	9	1	0	6	0	0	4426	0	0	0	0	0	1	0	0	88	14051	0	0	0	21748	0	183	0	0	0	0	0	31	4505	0
r1_B7	15	0	52	13	0	0	0	0	19216	0	2153	1	0	0	0	0	0	1	0	7	0	478	1	0	0	10	0	82	1964	0	0	0	0	0	0	997	0	0	0	1	1239	115	0	0	0	5	0	0	3	0	0	21589	108	0	0	0	1	0	7	0	0	0	0	0	0	0	5	0	0	5	0	0	3783	1	0	0	0	0	1	0	0	115	12380	0	0	1	19317	0	137	0	0	0	0	0	52	3979	0
r1_B8	18	0	54	18	0	0	0	1	22071	0	1610	2	0	0	0	0	0	0	0	12	2	618	0	0	0	2	0	21	815	0	0	0	0	0	0	721	0	0	0	0	1174	36	0	0	0	6	0	0	4	0	0	27583	124	0	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0	19	0	0	3519	0	0	0	1	0	2	0	0	43	10138	0	0	0	14374	0	179	0	0	0	0	0	53	1006	0
